ID,ISBN,Автор,Авторы,В базе,В закладки,Возраст,Год,Издательство,Код,Название,Не понравилось,Обложка,Описание,Переводчик,Переплёт,Понравилось,Производитель,Размеры,Рейтинг,Серия,Страниц,Тематика,Тираж,Формат,Цена
330658,978-5-699-20894-4,Донцова Дарья Аркадьевна,,Э.ИД.Золушка в шоколаде,34,16+,2007.0,Эксмо,333104,Золушка в шоколаде,3,https://www.bookvoed.ru/files/1836/14/35/57.jpg,"Разве могу я, Евлампия Романова, остаться в стороне, если друг заболел? Ужасно: у Вовки Костина нет желудка! Именно такой диагноз поставили в платной поликлинике. Ерунда, врут медики, ест-то он вон с каким аппетитом! Врут, чтобы денежки вытянуть на лечение. Не на ту напали! Недаром же госпожа Романова является сотрудником частного детективного агентства! Вот я пойду и разберусь с коновалами, которые за такие деньги ставят такие диагнозы! Кстати, а откуда у заведующей отделением поликлиники взялся медальон покойной Зои Крон? Зря я решила, что ее мать, рассказавшая странную историю о скоропостижной смерти дочери и письме… с того света, сумасшедшая. Сумасшедшие те, кто задумал кошмарную авантюру. Хотя и они не психи - просто преступники. Опять не так: не просто, а очень опасные. Только я никого не боюсь! Без иллюстраций. Бумага офсетная.",,твердый,7,,"13,00 см x 20,00 см x 2,50 см",70.0,Иронический детектив,384.0,Отечественные,250000.0,84х108/32,
330661,978-5-699-20169-3,Емец Дмитрий Александрович,,Э.Мефодий Буслаев-7.Лед и пламя Тартара,26,12+,2013.0,Эксмо,323903,Мефодий Буслаев. Кн.7. Лед и пламя Тартара,7,https://www.bookvoed.ru/files/1836/13/79/28.jpg,"Нижний Тартар... Невыносимый жар там соседствует с адским холодом, и муки томящихся там бесконечны. Туда издавна ссылают тех темных стражей, кто слишком опасен, неконтролируем и жесток даже для мрака. Спеша расправиться с Мефом и Ареем, Лигул тайно выпускает из Нижнего Тартара самых опасных узников. Тартарианцы бессмертны. Их тела неуязвимы для любого темного оружия. Только светлая магия способна отогнать их на время, однако Лигул предусмотрел и это. Застигнутая врасплох Даф теряет связь со своей флейтой. Отныне ее маголодии не действуют. За Эссиорхом охотятся убийцы. А юная валькирия поставлена перед выбором: завладеть дархом Арея или лишиться своего копья...",,твердый,359,,"13,00 см x 20,00 см x 2,60 см",98.09,Мефодий Буслаев,416.0,Для среднего школьного возраста,90100.0,205.00mm x 135.00mm x 25.00mm,
330670,5-699-19930-6,Донцова Дарья Аркадьевна,,Э.ИД.Каникулы в Простофилино,34,16+,2007.0,Эксмо,325231,Каникулы в Простофилино,3,https://www.bookvoed.ru/files/1836/13/86/10.jpg,"Любовь - страшная сила, это давно известно. Из-за нее происходят невероятные вещи! И я, Виола Тараканова, смогла лично в этом убедиться, решив помочь Милке Каркиной. По дому подруги бродит... чучело крокодила. Только чучело не обычное, а тотем кровожадного африканского племени. Ходит эта мумия и угрожает уничтожить всю семью! Глупости, такого не бывает! Вон его, на помойку! Собственными руками! Но что это? Вот же он, опять у порога стоит... И родители Милки вдруг одновременно умирают. Неужели причина именно в проклятии мерзкой крокодильей мумии? Нет, не верю я в чертовщину. Но в чем же тогда суть? Придется мне тогда разобраться. Чучело немедленно в огонь! А теперь пора взяться за дела людские...",,твердый,5,,"13,00 см x 20,00 см x 2,50 см",57.14,Иронический детектив,384.0,Отечественные,250000.0,84х108/32,
330918,978-5-699-21569-0,Донцова Дарья Аркадьевна,,Э.ИД.Зимнее лето весны,2,16+,2007.0,Эксмо,343340,Зимнее лето весны,2,https://www.bookvoed.ru/files/1377/14/99/22.jpg,"Абсурд, такого просто не может быть... Пришла Виола Тараканова к шантажистке выяснять отношения и... убила ее. Во всяком случае, все выглядит именно так. Вот же и труп старушки возле ног Таракановой, и выстрел только что прозвучал, и орудие преступления у нее в руке. Но Виола не стреляла! И до этого она никого не лишала жизни! Нечем было ее шантажировать! vТолько каким образом в доме убитого недавно бизнесмена, где она никогда до сегодняшнего дня не бывала, появились косметика, любимые тапочки и пижама Виолы? И кто такой мистер Икс, который названивает по телефону и утверждает, что про все это знает? А ведь ему и правда многое известно, как будто он следит за каждым ее шагом. Чего же он хочет?.. Сломить? Подчинить? Сделать марионеткой в своих руках? Ну нет, не на ту напали! Виола и не таких выводила на чистую воду!",,твердый,7,,"13,00 см x 20,00 см x 2,60 см",66.67,Иронический детектив,384.0,Отечественные,250000.0,84х108/32,
330920,978-5-699-22452-4,Донцова Дарья Аркадьевна,,Э.ИД.Личное дело Женщины-кошки,34,16+,2007.0,Эксмо,347336,Личное дело Женщины-кошки,0,https://www.bookvoed.ru/files/1836/15/16/00.jpg,"Страшный монстр завелся в доме Даши Васильевой. Кто это? Что это? У всех членов семьи разные версии. Даше привиделся ползущий огромный кусок мяса. Дегтярев утверждает, что у себя в комнате видел живую подушку. Короче, пора вызывать врачей. Они и вызвали. А вместо помощи получили еще одну головную боль - медсестра Марина решила окрутить полковника и поселиться в шикарном особняке... Нужно срочно выручать друга! Но и о новом расследовании забывать нельзя. Приятельница Таня Медведева попросила Дашу вывести на чистую воду мошенницу. К ним домой заявилась девица, которая выдает себя за пропавшую десять лет назад ее падчерицу Настю. Девочка вышла во двор выбросить мусорное ведро и исчезла. Таня твердо уверена - ее уже нет в живых. Но отец и бабушка признали Настю. Любительница частного сыска берется за разоблачение самозванки!",,твердый,4,,"13,00 см x 20,00 см x 2,70 см",70.0,Иронический детектив,384.0,Отечественные,250000.0,84х108/32,
330930,5-699-18855-X,Донцова Дарья Аркадьевна,,Э.ПИ.Простые и вкус.рец.Дарьи Донцовой,2,12+,2006.0,Эксмо,306488,Простые и вкусные рецепты Дарьи Донцовой,5,https://www.bookvoed.ru/files/1836/13/08/31.jpg,"Мастер детективного жанра, одна из самых остроумных писательниц российской литературы продолжает щедро делиться своими неиссякаемыми талантами. Дарье Донцовой подвластно многое - от лихо закрученной интриги до откровенного разговора с современной женщиной, от веселых приключений домашних животных до секретов изысканной кухни! Попробуйте! Рецепты и советы от Дарьи Донцовой - это легко в приготовлении, изысканно и вкусно. Готовьте с удовольствием! Замечательный подарок всем любительницам иронических детективов! Возможность заглянуть на кухню звезды! Простые секреты, как баловать родных и гостей праздничным настроением даже в будни!",,твердый,4,,"21,80 см x 29,00 см x 1,80 см",46.67,,256.0,"Кулинария, напитки",50100.0,60х84/8,
330943,978-5-699-21242-2,Донцова Дарья Аркадьевна,,Э.ИД(м).Каникулы в Простофилино,34,16+,2007.0,Эксмо,337631,Каникулы в Простофилино,0,https://www.bookvoed.ru/files/1836/14/65/73.jpg,"Любовь - страшная сила, это давно известно. Из-за нее происходят невероятные вещи! И я, Виола Тараканова, смогла лично в этом убедиться, решив помочь Милке Каркиной. По дому подруги бродит… чучело крокодила. Только чучело не обычное, а тотем кровожадного африканского племени. Ходит эта мумия и угрожает уничтожить всю семью! Глупости, такого не бывает! Вон его, на помойку! Собственными руками! Но что это? Вот же он, опять у порога стоит… И родители Милки вдруг одновременно умирают. Неужели причина именно в проклятии мерзкой крокодильей мумии? Нет, я не верю в чертовщину. Но тогда в чем же суть? Придется мне разобраться. Чучело немедленно в огонь! А теперь пора взяться за дела людские… Мягкая обложка, бумага офсетная.",,мягкий,2,,"10,90 см x 16,50 см x 2,00 см",62.5,Иронический детектив,384.0,Отечественные,370000.0,70х90/32,
331009,978-5-699-23848-4,Донцова Дарья Аркадьевна,,Э.Кулинарная книга лентяйки-2,34,12+,2007.0,Эксмо,357525,Кулинарная книга лентяйки-2. Вкусное путешествие,2,https://www.bookvoed.ru/files/1836/15/65/44.jpg,"Было бы намного лучше, если бы вместо бесполезных сувениров мы привозили из поездок новые идеи! Например, кулинарные. В понедельник готовим индейку по рецепту, тайком провезенному из Америки, во вторник – паприкаш по-венгерски, в среду – курицу с рисом по-кубински… Продолжать можно бесконечно. Но, к сожалению, немногие из нас могут назвать себя бывалыми путешественниками. В таком случае за интересными рецептами со всего мира можно обратиться к любимому автору иронических детективов. Издательство «Эксмо» приготовило новый сюрприз для читателей Дарьи Донцовой: «Кулинарную книгу лентяйки-2. Вкусное путешествие». Звезда российского детектива в свойственной ей легкой и ироничной форме поделится с читателями рецептами кухонь 22 разных стран мира, даже таких экзотических, как Сирия и Куба. Автор сама собрала эти рецепты во время своих многочисленных зарубежных поездок в качестве переводчика. Также в книге найдется уйма занимательных и смешных историй, которыми Дарья Аркадьевна балует своих друзей-читателей. Кулинарно-биографическое повествование доставит удовольствие гурманам всех возрастов! Новая кулинарная книга Дарьи Донцовой – это веселое занимательное чтение и изумительные рецепты со всего мира!",,твердый,3,,"21,50 см x 17,00 см x 1,80 см",54.55,,304.0,"Кулинария, напитки",150000.0,70х90/16,
331010,5-699-19407-X,Донцова Дарья Аркадьевна,,Э.ИД.Мачо чужой мечты,1,16+,2006.0,Эксмо,314219,Мачо чужой мечты,3,https://www.bookvoed.ru/files/1836/13/32/11.jpg,"Иван Подушкин не в состоянии больше терпеть тиранию владелицы детективного агентства ""Ниро"". Но приходится! К Норе за интервью явилась репортерша из гламурного журнала, и тут же нарисовалась клиентка с жуткой фамилией Умер. Эта самая Соня Умер пришла явно не по адресу, ей нужно получить разрешение от мужа, звезды телеэкрана Андрея Вяльцева, на выезд их общего сына за границу. Однако Нора, не желая упасть лицом в грязь перед журналисткой, заставляет Ваню поехать к телезвезде за разрешением. Взбешенный Вяльцев выставляет Ивана вон! Самое смешное, что Нора на следующий же день раздобыла за деньги необходимый документ и Подушкин повез его клиентке. Но Ваня нашел в квартире убитую Соню с изуродованным лицом... Вот тут и начались бега Подушкина по пересеченной следами преступников местности...",,твердый,9,,"13,00 см x 20,00 см x 2,90 см",75.0,Иронический детектив,384.0,Отечественные,170000.0,84х108/32,
331011,978-5-699-21101-2,Донцова Дарья Аркадьевна,,"Э.ИД.Верхом на ""Титанике""",2,16+,2007.0,Эксмо,339651,"Верхом на ""Титанике""",0,https://www.bookvoed.ru/files/1836/14/78/69.jpg,"Верхом на ""Титанике""… Что, сложно представить? Но именно такой образ пришел в голову Ивану Павловичу Подушкину после знакомства с Левой. Ваня должен в оба глаза следить за этим великовозрастным внучком подруги Элеоноры, на проверку оказавшимся настоящим исчадием ада. Он в пути проиграл свои вещи и вышел на перрон, завернувшись в одеяло, да еще по дороге пытался развести Подушкина на сотню баксов... А дома уже ждал новый клиент - Федор Шульгин. Он попросил доказать невиновность своей любовницы Лады, которую обвинили в убийстве мужа, бизнесмена Юрия Шульгина. Ване этот тип сразу показался подозрительным. Ну не странно ли?! Мало того, что они однофамильцы, так еще и баба у них общая! Но Нора не разделяла сомнений секретаря. Пока, сидя в уютном кресле, она занималась мозговым штурмом, Иван Павлович, как дикий мустанг носился по Москве в поисках преступников. Твердый переплет, бумага офсетная.",,твердый,5,,"13,00 см x 20,00 см x 2,60 см",72.73,Иронический детектив,384.0,Отечественные,190000.0,84х108/32,
