Games Played,Date,Home,Opponent,Goals,Goals Against,Result,Shots on Goal,Penalties in Minutes,Power Play Goals,Power Play Opportunities,SHG,Opponent Shots on Goal,Opponent Penalties in Minutes,Opponent Power Play Goals,Opponent Power Play Opportunities,Oponent SHG,CF = Shots + Blocks + Misses,CA = Shots + Blocks + Misses Against,CF / (CF + CA),FF = Shots + Misses,FA = Shots + Misses Against,FF / (FF + FA),Faceoff Wins,Faceoff Losses,Faceoff Win Percentage,Offensive Zone Faceoffs / (Offensive Zone Faceoffs + Defensive Zone Faceoffs),Shooting % + Save %
1,2014-10-09,1.0,Buffalo Sabres,3,1,W,40,4,1,,0,22,10,0.0,,0.0,58,35,62.4,42,30,58.3,23,26,46.9,53.9,100.6
2,2014-10-11,,New York Rangers,5,2,W,24,13,0,,0,26,25,0.0,,0.0,41,37,52.6,33,27,55.0,20,26,43.5,55.6,113.2
3,2014-10-14,,Dallas Stars,2,4,L,35,7,1,,0,35,13,0.0,,0.0,45,59,43.3,36,46,43.9,34,27,55.7,45.2,92.1
4,2014-10-17,,Calgary Flames,3,2,W,26,13,1,,0,31,15,0.0,,0.0,38,37,50.7,28,26,51.9,28,20,58.3,41.4,100.0
5,2014-10-18,1.0,Ottawa Senators,2,3,L,40,8,0,,0,35,10,0.0,,0.0,61,49,55.5,51,38,57.3,28,26,51.9,57.7,95.3
6,2014-10-23,1.0,San Jose Sharks,5,4,W,28,15,1,,1,37,15,1.0,,0.0,37,39,48.7,26,33,44.1,24,22,52.2,42.9,106.1
7,2014-10-24,1.0,Anaheim Ducks,1,4,L,17,13,1,,0,34,13,2.0,,0.0,29,43,40.3,25,34,42.4,22,31,41.5,48.6,90.9
8,2014-10-26,1.0,Los Angeles Kings,2,5,L,24,13,1,,0,27,21,1.0,,0.0,41,51,44.6,33,39,45.8,27,33,45.0,51.9,88.1
9,2014-10-28,,Ottawa Senators,2,5,L,38,31,1,,0,34,38,2.0,,0.0,46,47,49.5,38,37,50.7,24,23,51.1,49.3,93.4
10,2014-10-31,,Toronto Maple Leafs,1,4,L,29,4,1,,0,27,8,1.0,,0.0,41,39,51.3,29,30,49.2,24,35,40.7,68.3,88.0
11,2014-11-01,1.0,New Jersey Devils,2,3,L,34,16,1,,0,29,10,2.0,,0.0,30,35,46.2,27,25,51.9,21,22,48.8,46.1,99.1
12,2014-11-04,,Carolina Hurricanes,2,4,L,19,17,1,,0,37,9,0.0,,1.0,33,33,50.0,23,28,45.1,18,29,38.3,36.7,93.0
13,2014-11-07,1.0,Carolina Hurricanes,2,3,L,31,16,0,,0,35,10,1.0,,0.0,39,54,41.9,29,37,43.9,22,25,46.8,45.5,100.8
14,2014-11-08,,Tampa Bay Lightning,4,7,L,32,8,3,,0,38,10,2.0,,0.0,49,55,47.1,32,46,41.0,29,19,60.4,52.2,89.5
15,2014-11-11,1.0,Washington Capitals,2,4,L,26,10,0,,0,32,8,1.0,,0.0,50,36,58.1,30,27,52.6,19,25,43.2,53.6,92.9
16,2014-11-14,1.0,Philadelphia Flyers,4,3,W,38,6,3,,0,27,8,2.0,,0.0,55,42,56.7,42,28,60.0,22,28,44.0,53.1,103.3
17,2014-11-15,,San Jose Sharks,2,1,W,28,6,1,,0,37,6,0.0,,0.0,27,63,30.0,23,47,32.9,24,19,55.8,44.8,101.4
18,2014-11-18,,Detroit Red Wings,0,5,L,28,15,0,,0,40,11,2.0,,0.0,47,42,52.8,31,33,48.4,17,26,39.5,53.1,88.5
19,2014-11-21,,Boston Bruins,3,4,L,28,4,0,,0,41,16,0.0,,0.0,50,67,42.7,41,50,45.1,28,21,57.1,32.4,105.0
